Middle layer Super Output Areas Code,Middle layer Super Output Areas,% 16_to_29,% 30_to_49,% 50_to_69,total
E02000296,Enfield 020,15.23063534,32.78212939,19.92070399,10341
E02000297,Enfield 021,14.24313392,25.9420907,27.02789014,9394
E02000298,Enfield 022,13.02556646,27.49303284,26.75390767,8253
E02000299,Enfield 023,18.43269433,27.67010744,21.53991995,9494
E02000300,Enfield 024,18.78459279,28.3858579,21.29221733,8853
E02000301,Enfield 025,20.10369791,27.59733907,21.07219722,10222
E02000302,Enfield 026,15.79979241,28.71641103,23.86114635,8671
E02000303,Enfield 027,21.70848268,26.79808841,21.35005974,8370
E02000304,Enfield 028,12.92770934,26.3904442,26.83837253,8037
E02000305,Enfield 029,14.6509009,32.66891892,25.31531532,8880
E02000306,Enfield 030,19.29056273,28.61834903,20.59338734,9134
E02000307,Enfield 031,18.41012458,26.77476765,23.31421792,10114
E02000308,Enfield 032,18.90195183,32.00547883,20.86519804,8761
E02000309,Enfield 033,20.01017467,28.59080889,19.87451246,11794
E02000311,Enfield 035,19.30955994,29.61874052,22.51517451,10544
E02000312,Enfield 036,16.76842757,35.24466861,21.11317583,11301
E02000313,Greenwich 001,17.09046078,29.12621359,23.42425643,6489
E02000314,Greenwich 002,20.85785183,33.2718894,18.34101382,14105
E02000315,Greenwich 003,18.67085402,29.07506838,20.31202512,9871
E02000317,Greenwich 005,19.43673146,31.01943673,20.38873463,7563
E02000318,Greenwich 006,19.73422528,30.88953173,20.96365937,11062
E02000319,Greenwich 007,17.96175944,34.62371668,20.90044269,10617
E02000320,Greenwich 008,17.86018755,31.00312589,22.30747371,7038
E02000321,Greenwich 009,18.31368994,31.60212408,21.03354488,7721
E02000323,Greenwich 011,20.63763608,34.75894246,17.15396579,12860
E02000324,Greenwich 012,18.95258675,30.38006864,20.64319309,7867
E02000326,Greenwich 014,15.98870781,36.96907481,20.68523033,7793
E02000327,Greenwich 015,21.01766571,32.90049826,19.28129247,6623
E02000328,Greenwich 016,14.70904345,34.45416859,23.00015354,6513
E02000329,Greenwich 017,15.84518167,28.5150079,25.11848341,6330
E02000331,Greenwich 019,18.37726224,33.07421353,20.25992955,8233
E02000332,Greenwich 020,14.27804616,31.23993559,24.10091251,7452
E02000333,Greenwich 021,13.92851418,34.2202276,21.4297163,6239
E02000334,Greenwich 022,16.48086773,30.40072311,23.72702621,6638
E02000335,Greenwich 023,13.37827715,29.04868914,24.55430712,6675
E02000337,Greenwich 025,17.0031881,29.22422954,22.95430393,8469
E02000339,Greenwich 027,14.02225755,27.77424483,25.32591415,6290
E02000340,Greenwich 028,14.41048035,29.97088792,22.64919942,6870
E02000341,Greenwich 029,16.21858197,29.39852445,21.68313117,7997
E02000342,Greenwich 030,24.28728934,28.11466373,19.67238935,6349
E02000343,Greenwich 031,16.41833404,28.04030084,23.54193274,7047
E02000344,Greenwich 032,15.28166822,28.12013694,23.82508559,6426
E02000345,Hackney 001,21.9134674,24.05850091,14.04021938,8205
E02000346,Hackney 002,24.2895157,35.54018095,15.44438531,9395
E02000347,Hackney 003,22.41167812,25.19627085,14.46270854,8152
E02000348,Hackney 004,20.92277325,24.79644708,15.85245497,8106
E02000350,Hackney 006,23.58168148,34.37164339,17.16629235,10241
E02000351,Hackney 007,24.85723521,40.09266243,15.76338757,9281
E02000352,Hackney 008,18.23032459,33.21476212,19.49014377,6747
E02000353,Hackney 009,22.2236537,35.59649575,19.50528214,7762
E02000354,Hackney 010,23.98001665,36.05328893,17.9641965,9608
E02000355,Hackney 011,21.38756565,35.89837547,18.88359594,8187
E02000356,Hackney 012,21.07208872,37.70794824,19.40850277,7033
E02000357,Hackney 013,21.50474799,28.25420015,21.34404675,6845
E02000358,Hackney 014,22.59402904,38.77514206,18.09326238,11087
E02000359,Hackney 015,21.05106002,34.17438041,19.30426993,6698
E02000360,Hackney 016,22.23766505,33.55628909,19.37109104,11512
E02000361,Hackney 017,25.60188632,39.82377761,15.46289402,8058
E02000362,Hackney 018,25.38428387,34.59273093,18.17267634,6961
E02000363,Hackney 019,22.02120498,31.36149445,19.19387412,11884
E02000364,Hackney 020,21.9112702,35.30751708,20.29504285,9219
E02000366,Hackney 022,21.03555983,32.66458433,21.70831331,8324
E02000367,Hackney 023,25.29507725,40.08252567,15.98694943,10421
E02000368,Hackney 024,23.59460004,32.66169655,19.84686681,9926
E02000369,Hackney 025,23.43018503,40.03121052,15.68700305,13457
E02000370,Hackney 026,26.3793298,37.39140246,16.2811689,8863
E02000372,Hammersmith and Fulham 001,27.05788103,32.36531144,19.86781494,9986
E02000373,Hammersmith and Fulham 002,22.92377702,28.9817975,20.09385666,7032
E02000374,Hammersmith and Fulham 003,25.77424023,29.3487699,19.03039074,6910
E02000375,Hammersmith and Fulham 004,26.4234162,31.6091954,20.43571238,7482
E02000376,Hammersmith and Fulham 005,27.6129417,35.36603549,18.42850753,6707
E02000377,Hammersmith and Fulham 006,24.57985888,32.31558691,21.03912765,7795
E02000378,Hammersmith and Fulham 007,25.75781129,35.36452666,19.1978859,6433
E02000379,Hammersmith and Fulham 008,17.26706392,33.41007584,20.72047671,7384
E02000380,Hammersmith and Fulham 009,19.74209953,32.36469306,22.1394842,5506
E02000381,Hammersmith and Fulham 010,20.20440252,33.71331237,21.3836478,7632
E02000382,Hammersmith and Fulham 011,22.20426632,33.27407886,21.42857143,6188
E02000383,Hammersmith and Fulham 012,27.52835539,32.30151229,19.39981096,8464
E02000384,Hammersmith and Fulham 013,27.96999758,32.60343576,18.47326397,8266
E02000385,Hammersmith and Fulham 014,36.08540925,33.52313167,15.6405694,5620
E02000386,Hammersmith and Fulham 015,29.10841467,29.51727776,19.24294381,7582
E02000387,Hammersmith and Fulham 016,29.6615793,31.71864632,18.74585269,6028
E02000388,Hammersmith and Fulham 017,29.54020333,33.50277264,17.20194085,8656
E02000389,Hammersmith and Fulham 018,23.62058994,31.64835165,20.30075188,8645
E02000390,Hammersmith and Fulham 019,29.5447207,32.53148208,16.66128511,6194
E02000391,Hammersmith and Fulham 020,23.51080654,31.00948867,20.0975224,7588
E02000392,Hammersmith and Fulham 021,27.20771481,32.37620544,17.90009752,9229
E02000393,Hammersmith and Fulham 022,27.36401674,33.43933054,15.59832636,5975
E02000394,Hammersmith and Fulham 023,24.41835416,35.63119345,17.26626454,9284
E02000395,Hammersmith and Fulham 024,24.70940472,29.3589292,19.79570271,5678
E02000396,Hammersmith and Fulham 025,21.46687926,30.03333816,20.36527033,6899
E02000397,Haringey 001,17.37481032,37.83510369,20.43500253,7908
E02000398,Haringey 002,20.3166578,29.39063332,22.61841405,7516
E02000400,Haringey 004,18.54031047,30.95893841,21.88282424,7988
E02000401,Haringey 005,22.28213349,28.49023608,24.1911979,6862
E02000402,Haringey 006,20.38324834,29.33086076,24.04574254,6471
E02000403,Haringey 007,19.20618007,38.35908364,18.74001066,7508
E02000404,Haringey 008,20.88020247,33.80202475,20.86614173,7112
E02000405,Haringey 009,13.38996139,29.99227799,24.29343629,6475
E02000406,Haringey 010,22.23871734,34.72387173,21.73396675,6736
E02000407,Haringey 011,18.75328774,35.11309837,21.33087849,7604
E02000408,Haringey 012,19.33099018,31.00230275,21.25802933,8251
E02000409,Haringey 013,20.56444958,31.83693679,22.92457501,6059
E02000410,Haringey 014,15.86163914,31.44281708,24.41570583,6418
E02000411,Haringey 015,27.43897104,32.49628139,17.61308951,11429
E02000412,Haringey 016,22.70742358,36.98144105,19.7871179,7328
E02000413,Haringey 017,15.26865095,29.28746296,24.03040845,7761
E02000414,Haringey 018,18.89908257,36.34438956,20.94565984,7085
E02000415,Haringey 019,20.34249413,37.89531833,18.18809557,7241
E02000416,Haringey 020,19.11521173,38.92831796,18.98509581,8454
E02000417,Haringey 021,14.9847561,32.05792683,24.29878049,6560
E02000418,Haringey 022,12.68642976,29.58939422,27.47192046,5431
E02000419,Haringey 023,21.03274559,40.50835814,17.28875658,8734
E02000420,Haringey 024,20.00751221,36.50932766,20.49580568,7987
E02000421,Haringey 025,25.12037581,33.25895479,19.04873752,8515
E02000422,Haringey 026,18.85476733,35.34933619,20.15555854,7457
E02000423,Haringey 027,22.99449754,39.11091804,18.65044889,6906
E02000424,Haringey 028,16.38275811,35.89097911,24.51488668,6751
E02000425,Haringey 029,17.99926534,26.49687768,13.4933268,8167
E02000426,Haringey 030,15.56000616,31.18163611,22.66214759,6491
E02000427,Haringey 031,23.18030806,39.38387194,18.75566294,6622
E02000428,Haringey 032,24.72403561,34.07715134,17.48367953,8425
E02000429,Haringey 033,12.84768212,34.40765269,25.43046358,6795
E02000430,Haringey 034,17.36492343,37.51805836,21.91563132,6922
E02000431,Haringey 035,19.64774282,36.23461012,22.29822161,5848
E02000432,Haringey 036,23.46405229,36.71568627,20.93137255,6120
E02000433,Harrow 001,14.73427143,26.25886731,21.78160251,8599
E02000434,Harrow 002,16.70052824,30.75985372,21.62738724,9844
E02000435,Harrow 003,17.27927708,27.13396019,21.8708023,8189
